iter	Logloss
0	0.6409335308
1	0.5877656708
2	0.5460845455
3	0.5099739356
4	0.4769894886
5	0.4502721577
6	0.4271046664
7	0.4078048874
8	0.3900912341
9	0.370887149
10	0.3584259858
11	0.3444853516
12	0.3345392827
13	0.3230685291
14	0.3147484013
15	0.3041450994
16	0.2975261404
17	0.2911753013
18	0.2847625526
19	0.2767516505
20	0.2696739459
21	0.2634494212
22	0.2591747079
23	0.2538112162
24	0.2481497716
25	0.2429008997
26	0.2386347841
27	0.2345180821
28	0.2304623791
29	0.2269724609
30	0.2238016246
31	0.2191530375
32	0.2153657738
33	0.2121618744
34	0.2081567082
35	0.2052621223
36	0.2024213359
37	0.1992189307
38	0.1971280366
39	0.1940177207
40	0.1906064303
41	0.1883463456
42	0.1859623781
43	0.1831879428
44	0.1803436931
45	0.1785069755
46	0.1768413324
47	0.1745926414
48	0.1727666062
49	0.1712349635
50	0.169336961
51	0.1667854299
52	0.1654937052
53	0.1641177962
54	0.1623464436
55	0.1609677109
56	0.1590649895
57	0.1570931736
58	0.1557537181
59	0.1543331169
60	0.1523506553
61	0.1510546627
62	0.1491318603
63	0.1469684594
64	0.1457595448
65	0.1444096675
66	0.1430322147
67	0.1417848847
68	0.1406769264
69	0.1390875299
70	0.1381666452
71	0.1372148168
72	0.1363861633
73	0.1354940409
74	0.1343897923
75	0.1337430349
76	0.1325324713
77	0.1313855459
78	0.1303016031
79	0.1285956464
80	0.1274528526
81	0.1259739666
82	0.1250501733
83	0.123447443
84	0.1226671378
85	0.1211223893
86	0.1204901028
87	0.1191897377
88	0.1187259492
89	0.1179934312
90	0.1170636717
91	0.1164092017
92	0.1152552453
93	0.1146201697
94	0.113922874
95	0.1129348861
96	0.1120268373
97	0.1105789651
98	0.1100839064
99	0.1091937609
100	0.1082373856
101	0.1074431483
102	0.1069771934
103	0.1064463103
104	0.1054313654
105	0.1042500553
106	0.1036701216
107	0.1028990726
108	0.1018742045
109	0.1012484367
110	0.1005544667
111	0.1000340228
112	0.09909318058
113	0.09843454884
114	0.09795638495
115	0.09745778211
116	0.09687889
117	0.0962337769
118	0.09545263957
119	0.09509815709
120	0.09438384293
121	0.09391389877
122	0.09320415939
123	0.09266863716
124	0.09191849872
125	0.09158793075
126	0.09109648502
127	0.09044228035
128	0.08991232804
129	0.08926091353
130	0.08852152665
131	0.08784760168
132	0.08718252787
133	0.08635303774
134	0.08575935034
135	0.08525071066
136	0.0848793062
137	0.08445729037
138	0.08394702278
139	0.08350526946
140	0.08296781003
141	0.08275007705
142	0.08228605737
143	0.08178615887
144	0.08120478861
145	0.0806081773
146	0.08014471982
147	0.07975801252
148	0.0792523511
149	0.07881133062
150	0.07819994797
151	0.07777314991
152	0.0774824197
153	0.07677853857
154	0.0762350611
155	0.07577797372
156	0.07530112851
157	0.07473644376
158	0.07412253349
159	0.0738205791
160	0.07316668136
161	0.07287699735
162	0.0725209118
163	0.07199493303
164	0.07157829055
165	0.07109677391
166	0.07065806799
167	0.07026671713
168	0.06992488221
169	0.06951944615
170	0.06916740056
171	0.0688031432
172	0.06849397634
173	0.06797102536
174	0.06757065668
175	0.06716190985
176	0.06682156729
177	0.06646718966
178	0.06618399609
179	0.0657308668
180	0.06550543233
181	0.06523909621
182	0.06472003963
183	0.06444563379
184	0.06406030722
185	0.06391107994
186	0.06360290062
187	0.06332085541
188	0.06290033752
189	0.06251840466
190	0.0621949609
191	0.06170823675
192	0.06143119558
193	0.06100753242
194	0.06078298874
195	0.06037242207
196	0.06006143138
197	0.05982320756
198	0.05953420282
199	0.05933565179
200	0.05896293952
201	0.05867225996
202	0.0583031671
203	0.05798306944
204	0.05778753586
205	0.05734222231
206	0.05717753139
207	0.05680155804
208	0.05655215258
209	0.05618977578
210	0.05592116619
211	0.0557157171
212	0.05542132642
213	0.05528606368
214	0.05505457195
215	0.05497252262
216	0.05486580814
217	0.0546131121
218	0.0544135667
219	0.05417626672
220	0.05403378642
221	0.05373772642
222	0.05348198545
223	0.05318575214
224	0.05306807115
225	0.05282407856
226	0.05258781019
227	0.0523504022
228	0.05213778019
229	0.05187869842
230	0.05153747743
231	0.05132106981
232	0.05124435929
233	0.05100217059
234	0.05074571999
235	0.05054962885
236	0.05043718449
237	0.05023824265
238	0.05004872066
239	0.04968361417
240	0.04946142989
241	0.0492796085
242	0.04895164858
243	0.04878417664
244	0.04844128895
245	0.04834225027
246	0.04809021495
247	0.04785556931
248	0.04771843123
249	0.04746539579
250	0.04732604681
251	0.0471866652
252	0.04698943568
253	0.04676640754
254	0.04665484813
255	0.0463552309
256	0.04606386167
257	0.04597839824
258	0.04579760806
259	0.04563691837
260	0.04547727653
261	0.04527285345
262	0.04507145172
263	0.04493220622
264	0.0448632039
265	0.0446596079
266	0.04448767719
267	0.04425822717
268	0.04418866658
269	0.0438851798
270	0.04373893717
271	0.04367498392
272	0.04353568217
273	0.04336800943
274	0.04321638438
275	0.04306951398
276	0.04290785538
277	0.04277975245
278	0.04264158874
279	0.04243241975
280	0.04220507751
281	0.04206372553
282	0.04189425469
283	0.04175631164
284	0.04154738422
285	0.04130380804
286	0.0411399924
287	0.04102791814
288	0.04085230768
289	0.04072955088
290	0.04065102853
291	0.04047865918
292	0.04035131016
293	0.04023372337
294	0.04005302977
295	0.03991162436
296	0.03984190736
297	0.03968032901
298	0.03958573342
299	0.0395485935
